Film International [Elektronische Ressource]	1651-6826
Film Criticism [Elektronische Ressource]	0163-5069
Film Studies [Elektronische Ressource]	1469-0314
Media and cultural memory	1613-8961
Wegweiser Journalismus	1866-5365
Theaomai	1436-1981
Digital Formations	1526-3169
Studies in Russian & Soviet Cinema	1750-3132
Potsdamer Forschungen zur Musik und Kulturgeschichte	1867-4593
Babelsberger Schriften zur Mediendramaturgie und -Ästhetik	1865-553X
Probleme der Dichtung	0555-2257
Neue Rundschau	0028-3347
Cultural interactions	1662-0364
Transcription	1613-8414
Leipziger Studien zur angewandten Linguistik und Translatologie	2-7056
Schriftenreihe zum Kommunikations- und Medienrecht	3-7922
Veröffentlichungen des Moldova-Instituts Leipzig	1867-7312
Mono.Kultur	1861-7085
Zeitschrift für Semiotik	0170-6241
Arbeitspapiere zur Lateinamerikaforschung	1616-9085
Marburger Schriften zur Medienforschung	1867-5131
Internationales Handbuch für Medien	0535-4358
Internationales Handbuch für Hörfunk und Fernsehen	0946-3348
Schriftenreihe Verfassungsrecht in Forschung und Praxis	1616-9794
Medien und politische Kommunikation - Naher Osten und islamische Welt	1863-4486
Beiträge zur Popularmusikforschung	0943-9242
Feuchtwanger studies	1662-9965
Kulturanalysen	1867-769X
Visier	0948-0528
Schriftenreihe Studien zur portugiesischsprachigen Welt	1867-3333
Wissenschaftliche Beiträge aus dem Tectum Verlag : Reihe Medienwissenschaften	1861-7530
Zoom	1868-9493
Fernsehen in Deutschland	1862-2038
Cargo	1867-8742
Journal of children and media	1748-2798
Schriften des Internationalen Kollegs für Kulturtechnikforschung und Medienphilosophie	1433-6960
Yellow	1866-184X
Wissenschaftliche Beiträge aus dem Tectum Verlag : Reihe Psychologie	1861-7735
Klassiker der Wissenssoziologie	1860-8647
Schmalfilm	0177-3739
Mainzer Studien zur Buchwissenschaft	0946-090X
Kinder- und Jugendkultur, -literatur und -medien : Theorie - Geschichte - Didaktik	1435-4721
Film Cultures	1663-8972
American studies	0178-1987
Schriftenreihe Schriften zur Entwicklungspsychologie	1617-2078
Weimarer Beiträge	0043-2199
Berliner Schriften zur Medienwissenschaft	1869-0041
Edition Medienpraxis	1863-7825
Salmagundi	0036-3529
Positionen	0941-4711
Narratologia	1612-8427
Mediated youth	1555-1814
Projections	1934-9688
Catalan Journal of Communication & Cultural Studies	1757-1901
Zeitschrift für Medienwissenschaft	1869-1722
Filmhäftet	0345-3057
Sound on sound	0951-6816
Italian Modernities	1662-9108
Hispanic studies	1661-4720
New media in creativity, content and entertainment	2190-8176
New trends in translation studies	1664-249X
Socialia	1435-6651
Werkstattberichte der HFF "Konrad Wolf"	2193-8903
Theater	0343-527X
Jahrbuch immersiver Medien	1869-7178
Hallesche Schriften zur Sprechwissenschaft und Phonetik : HSSP	1437-3890
Merkur	1438-8286
Berliner Beiträge zur Skandinavistik	0933-4009
Archiv für Musikwissenschaft, Beihefte zum Archiv für Musikwissenschaft	0570-6769
Edition Sozialwissenschaften	2070-1802
Media & Culture	1098-4208
Das Orchester	0030-4468
Dis-continuities	2193-4207
Halma - Hallische Medienarbeiten	0949-1880
Natur und Geschichte	2196-1018
Media convergence = Medienkonvergenz	2194-0150
Querformat	1867-447X
Art / Knowledge / Theory	2235-2759
International journal of internet science	1662-5544
Warsaw Studies in Jewish History and Memory	2191-7493
Kulturelle Überlieferung - digital	2193-1259
Semiotics, communication and cognition	1867-0873
The moving image	1532-3978
Methoden und Forschungslogik der Kommunikationswissenschaft	1863-4966
Kontext: Kunst - Vermittlung - kulturelle Bildung	1868-6060
Kunst-, Musik- und Theaterwissenschaft	1862-6114
Freiburger Literaturpsychologische Gespräche	0721-8907
Berliner Beiträge zur Familiensoziologie	1610-5834
LiteraturFilm	2195-4984
Repenser le cinéma = Rethinking cinema	1379-8391
Companions to contemporary German culture	2193-9659
Klagenfurter Beiträge zur Visuellen Kultur	2197-0602
Deutschland in den internationalen Beziehungen	2034-4929
Magdeburger Schriftenreihe zur Medienbildung	2194-1130
WeltLiteraturen	2198-9370
Österreichische Zeitschrift für Soziologie / Sonderheft	1615-1739
Hefte zur Medienkulturforschung	2197-0254
DIGAREC series	1867-6219
Merseburger Medienpädagoische Schriften	1612-7706
Trends in Communication	1383-8857
Ray	1993-811X
Y - Revue für Psychoanalyse	2194-3494
Contact zones	2196-3746
Spectrum Literaturwissenschaft	1860-210X
Digitale Medien in der Hochschullehre	2199-7667
Aachen British and American studies	0721-3980
Digital culture & society	2364-2114
Mac life	1860-9988
Horror studies	2040-3275
